(	(	KNOWN	O	O
10600	$NUM$	KNOWN	O	O
Fuss	fuss	KNOWN	O	O
=	=	KNOWN	O	O
3350	$NUM$	KNOWN	O	O
Meter	meter	KNOWN	O	O
Keil	keil	KNOWN	O	O
.	.	KNOWN	O	O
)	)	KNOWN	O	O
Sonntag	sonntag	KNOWN	O	O
den	den	KNOWN	O	O
20	$NUM$	KNOWN	O	O
August	august	KNOWN	O	O
marschirte	marschirte	KNOWN	O	O
ich	ich	KNOWN	O	O
mit	mit	KNOWN	O	O
Michel	michel	KNOWN	O	O
Groder	groder	UNKNOWN	O	O
von	von	KNOWN	O	O
Kals	kals	UNKNOWN	B-LOC	B-LOC
wenige	wenige	KNOWN	O	O
Minuten	minuten	KNOWN	O	O
nach	nach	KNOWN	O	O
6	$NUM$	KNOWN	O	O
früh	früh	KNOWN	O	O
durch	durch	KNOWN	O	O
das	das	KNOWN	O	O
Virgenthal	virgenthal	UNKNOWN	B-LOC	O
aufwärts	aufwärts	KNOWN	O	O
nach	nach	KNOWN	O	O
Prägraten	prägraten	UNKNOWN	B-LOC	O
.	.	KNOWN	O	O
Hier	hier	KNOWN	O	O
bei	bei	KNOWN	O	O
Isaias	isaias	UNKNOWN	O	B-LOC
Steiner	steiner	KNOWN	O	I-LOC
verproviantirten	verproviantirten	UNKNOWN	O	O
wir	wir	KNOWN	O	O
uns	uns	KNOWN	O	O
und	und	KNOWN	O	O
stiegen	stiegen	KNOWN	O	O
Nachmittags	nachmittags	KNOWN	O	O
zur	zur	KNOWN	O	O
Johann’shütte	johann’shütte	UNKNOWN	B-LOC	O
empor	empor	KNOWN	O	O
.	.	KNOWN	O	O
Gegen	gegen	KNOWN	O	O
6	$NUM$	KNOWN	O	O
Uhr	uhr	KNOWN	O	O
Nachmittags	nachmittags	KNOWN	O	O
langten	langten	KNOWN	O	O
wir	wir	KNOWN	O	O
in	in	KNOWN	O	O
der	der	KNOWN	O	O
Johann’shütte	johann’shütte	UNKNOWN	B-LOC	O
an	an	KNOWN	O	O
und	und	KNOWN	O	O
trafen	trafen	KNOWN	O	O
hier	hier	KNOWN	O	O
einen	einen	KNOWN	O	O
Soldaten	soldaten	KNOWN	O	O
,	,	KNOWN	O	O
welcher	welcher	KNOWN	O	O
mit	mit	KNOWN	O	O
Holzspalten	holzspalten	UNKNOWN	O	O
beschäftigt	beschäftigt	KNOWN	O	O
war	war	KNOWN	O	O
und	und	KNOWN	O	O
vergeblich	vergeblich	KNOWN	O	O
seines	seines	KNOWN	O	O
Herren	herren	KNOWN	O	O
,	,	KNOWN	O	O
eines	eines	KNOWN	O	O
Officiers	officiers	KNOWN	O	O
der	der	KNOWN	O	O
Mappirungs-Commission	mappirungs-commission	UNKNOWN	O	O
harrte	harrte	KNOWN	O	O
.	.	KNOWN	O	O
Raum	raum	KNOWN	O	O
war	war	KNOWN	O	O
somit	somit	KNOWN	O	O
genug	genug	KNOWN	O	O
vorhanden	vorhanden	KNOWN	O	O
und	und	KNOWN	O	O
für	für	KNOWN	O	O
eine	eine	KNOWN	O	O
prächtige	prächtige	KNOWN	O	O
Lagerstatt	lagerstatt	UNKNOWN	O	O
ist	ist	KNOWN	O	O
,	,	KNOWN	O	O
seitdem	seitdem	KNOWN	O	O
diese	diese	KNOWN	O	O
Unterkunftshütte	unterkunftshütte	UNKNOWN	O	O
in	in	KNOWN	O	O
den	den	KNOWN	O	O
Besitz	besitz	KNOWN	O	O
des	des	KNOWN	O	O
Deutschen	deutschen	KNOWN	O	O
Alpenvereins	alpenvereins	KNOWN	O	O
übergegangen	übergegangen	KNOWN	O	O
,	,	KNOWN	O	O
auch	auch	KNOWN	O	O
gesorgt	gesorgt	KNOWN	O	O
.	.	KNOWN	O	O
Besonders	besonders	KNOWN	O	O
dankend	dankend	KNOWN	O	O
gedenke	gedenke	KNOWN	O	O
ich	ich	KNOWN	O	O
zweier	zweier	KNOWN	O	O
schwerer	schwerer	KNOWN	O	O
wollener	wollener	UNKNOWN	O	O
