(	(	KNOWN	O
10600	$NUM$	KNOWN	O
Fuss	fuss	KNOWN	O
=	=	KNOWN	O
3350	$NUM$	KNOWN	O
Meter	meter	KNOWN	O
Keil	keil	KNOWN	O
.	.	KNOWN	O
)	)	KNOWN	O
Sonntag	sonntag	KNOWN	O
den	den	KNOWN	O
20.	20.	KNOWN	O
August	august	KNOWN	O
marschirte	marschirte	KNOWN	O
ich	ich	KNOWN	O
mit	mit	KNOWN	O
Michel	michel	KNOWN	B-PER
Groder	groder	UNKNOWN	I-PER
von	von	KNOWN	O
Kals	kals	UNKNOWN	O
wenige	wenige	KNOWN	O
Minuten	minuten	KNOWN	O
nach	nach	KNOWN	O
6	$NUM$	KNOWN	O
früh	früh	KNOWN	O
durch	durch	KNOWN	O
das	das	KNOWN	O
Virgenthal	virgenthal	UNKNOWN	O
aufwärts	aufwärts	KNOWN	O
nach	nach	KNOWN	O
Prägraten	prägraten	UNKNOWN	O
.	.	KNOWN	O
Hier	hier	KNOWN	O
bei	bei	KNOWN	O
Isaias	isaias	UNKNOWN	O
Steiner	steiner	KNOWN	O
verproviantirten	verproviantirten	UNKNOWN	O
wir	wir	KNOWN	O
uns	uns	KNOWN	O
und	und	KNOWN	O
stiegen	stiegen	KNOWN	O
Nachmittags	nachmittags	KNOWN	O
zur	zur	KNOWN	O
Johann’shütte	johann’shütte	UNKNOWN	O
empor	empor	KNOWN	O
.	.	KNOWN	O
Gegen	gegen	KNOWN	O
6	$NUM$	KNOWN	O
Uhr	uhr	KNOWN	O
Nachmittags	nachmittags	KNOWN	O
langten	langten	KNOWN	O
wir	wir	KNOWN	O
in	in	KNOWN	O
der	der	KNOWN	O
Johann’shütte	johann’shütte	UNKNOWN	O
an	an	KNOWN	O
und	und	KNOWN	O
trafen	trafen	KNOWN	O
hier	hier	KNOWN	O
einen	einen	KNOWN	O
Soldaten	soldaten	KNOWN	O
,	,	KNOWN	O
welcher	welcher	KNOWN	O
mit	mit	KNOWN	O
Holzspalten	holzspalten	UNKNOWN	O
beschäftigt	beschäftigt	KNOWN	O
war	war	KNOWN	O
und	und	KNOWN	O
vergeblich	vergeblich	KNOWN	O
seines	seines	KNOWN	O
Herren	herren	KNOWN	O
,	,	KNOWN	O
eines	eines	KNOWN	O
Officiers	officiers	KNOWN	O
der	der	KNOWN	O
Mappirungs-Commission	mappirungs-commission	UNKNOWN	O
harrte	harrte	KNOWN	O
.	.	KNOWN	O
Raum	raum	KNOWN	O
war	war	KNOWN	O
somit	somit	KNOWN	O
genug	genug	KNOWN	O
vorhanden	vorhanden	KNOWN	O
und	und	KNOWN	O
für	für	KNOWN	O
eine	eine	KNOWN	O
prächtige	prächtige	KNOWN	O
Lagerstatt	lagerstatt	UNKNOWN	O
ist	ist	KNOWN	O
,	,	KNOWN	O
seitdem	seitdem	KNOWN	O
diese	diese	KNOWN	O
Unterkunftshütte	unterkunftshütte	UNKNOWN	O
in	in	KNOWN	O
den	den	KNOWN	O
Besitz	besitz	KNOWN	O
des	des	KNOWN	O
Deutschen	deutschen	KNOWN	B-ORG
Alpenvereins	alpenvereins	KNOWN	I-ORG
übergegangen	übergegangen	KNOWN	O
,	,	KNOWN	O
auch	auch	KNOWN	O
gesorgt	gesorgt	KNOWN	O
.	.	KNOWN	O
Besonders	besonders	KNOWN	O
dankend	dankend	KNOWN	O
gedenke	gedenke	KNOWN	O
ich	ich	KNOWN	O
zweier	zweier	KNOWN	O
schwerer	schwerer	KNOWN	O
wollener	wollener	UNKNOWN	O
Decken	decken	KNOWN	O
,	,	KNOWN	O
welche	welche	KNOWN	O
als	als	KNOWN	O
Eigenthum	eigenthum	UNKNOWN	O
der	der	KNOWN	O
Hütte	hütte	KNOWN	O
uns	uns	KNOWN	O
zu	zu	KNOWN	O
Gute	gute	KNOWN	O
kamen	kamen	KNOWN	O
;	;	KNOWN	O
ich	ich	KNOWN	O
kann	kann	KNOWN	O
hier	hier	KNOWN	O
nur	nur	KNOWN	O
den	den	KNOWN	O
Wunsch	wunsch	KNOWN	O
aussprechen	aussprechen	KNOWN	O
,	,	KNOWN	O
unser	unser	KNOWN	O
Alpenverein	alpenverein	KNOWN	O
möge	möge	KNOWN	O
für	für	KNOWN	O
noch	noch	KNOWN	O
einige	einige	KNOWN	O
solche	solche	KNOWN	O
Exemplare	exemplare	KNOWN	O
sorgen	sorgen	KNOWN	O
,	,	KNOWN	O
da	da	KNOWN	O
die	die	KNOWN	O
Johann’shütte	johann’shütte	UNKNOWN	O
auch	auch	KNOWN	O
in	in	KNOWN	O
neuerer	neuerer	KNOWN	O
Zeit	zeit	KNOWN	O
stark	stark	KNOWN	O
frequentirt	frequentirt	UNKNOWN	O
wird	wird	KNOWN	O
(	(	KNOWN	O
es	es	KNOWN	O
waren	waren	KNOWN	O
gleich	gleich	KNOWN	O
Tages	tages	KNOWN	O
darauf	darauf	KNOWN	O
nicht	nicht	KNOWN	O
weniger	weniger	KNOWN	O
als	als	KNOWN	O
fünf	fünf	KNOWN	O
Touristen	touristen	KNOWN	O
in	in	KNOWN	O
derselben	derselben	KNOWN	O
zu	zu	KNOWN	O
Gaste	gaste	KNOWN	O
)	)	KNOWN	O
.	.	KNOWN	O
Im	im	KNOWN	O
Uebrigen	uebrigen	KNOWN	O
ist	ist	KNOWN	O
die	die	KNOWN	O
Johann’shütte	johann’shütte	UNKNOWN	O
viel	viel	KNOWN	O
comfortabler	comfortabler	UNKNOWN	O
eingerichtet	eingerichtet	KNOWN	O
als	als	KNOWN	O
beispielsweise	beispielsweise	KNOWN	O
die	die	KNOWN	O
Rainerhütte	rainerhütte	UNKNOWN	O
,	,	KNOWN	O
in	in	KNOWN	O
welcher	welcher	KNOWN	O
wenige	wenige	KNOWN	O
Tage	tage	KNOWN	O
vorher	vorher	KNOWN	O
jegliche	jegliche	KNOWN	O
Einrichtung	einrichtung	KNOWN	O
fehlte	fehlte	KNOWN	O
.	.	KNOWN	O
Es	es	KNOWN	O
war	war	KNOWN	O
1	$NUM$	KNOWN	O
Uhr	uhr	KNOWN	O
vorüber	vorüber	KNOWN	O
,	,	KNOWN	O
als	als	KNOWN	O
mich	mich	KNOWN	O
Michel	michel	KNOWN	B-PER
weckte	weckte	KNOWN	O
,	,	KNOWN	O
1	$NUM$	KNOWN	O
¼	¼	UNKNOWN	O
Stunde	stunde	KNOWN	O
später	später	KNOWN	O
waren	waren	KNOWN	O
wir	wir	KNOWN	O
marschbereit	marschbereit	UNKNOWN	O
.	.	KNOWN	O
Die	die	KNOWN	O
Nacht	nacht	KNOWN	O
war	war	KNOWN	O
stockfinster	stockfinster	UNKNOWN	O
,	,	KNOWN	O
Michel	michel	KNOWN	B-PER
noch	noch	KNOWN	O
nie	nie	KNOWN	O
hiergewesen	hiergewesen	UNKNOWN	O
,	,	KNOWN	O
auch	auch	KNOWN	O
durfte	durfte	KNOWN	O
der	der	KNOWN	O
schwache	schwache	KNOWN	O
Lichtschein	lichtschein	UNKNOWN	O
der	der	KNOWN	O
Laterne	laterne	KNOWN	O
nicht	nicht	KNOWN	O
hoch	hoch	KNOWN	O
angeschlagen	angeschlagen	KNOWN	O
werden	werden	KNOWN	O
und	und	KNOWN	O
so	so	KNOWN	O
war	war	KNOWN	O
es	es	KNOWN	O
denn	denn	KNOWN	O
eine	eine	KNOWN	O
peinliche	peinliche	KNOWN	O
Wanderung	wanderung	KNOWN	O
,	,	KNOWN	O
bald	bald	KNOWN	O
den	den	KNOWN	O
rauschenden	rauschenden	KNOWN	O
Gletscherbach	gletscherbach	UNKNOWN	O
zur	zur	KNOWN	O
Seite	seite	KNOWN	O
,	,	KNOWN	O
dann	dann	KNOWN	O
wieder	wieder	KNOWN	O
über	über	KNOWN	O
ungleiche	ungleiche	KNOWN	O
grosse	grosse	KNOWN	O
Steintrümmer	steintrümmer	UNKNOWN	O
und	und	KNOWN	O
dennoch	dennoch	KNOWN	O
traf	traf	KNOWN	O
der	der	KNOWN	O
wackere	wackere	KNOWN	O
Michel	michel	KNOWN	O
ganz	ganz	KNOWN	O
genau	genau	KNOWN	O
die	die	KNOWN	O
für	für	KNOWN	O
den	den	KNOWN	O
Anstieg	anstieg	KNOWN	O
geeignetste	geeignetste	UNKNOWN	O
Stelle	stelle	KNOWN	O
am	am	KNOWN	O
Dorfergletscher	dorfergletscher	UNKNOWN	O
;	;	KNOWN	O
er	er	KNOWN	O
hatte	hatte	KNOWN	O
zu	zu	KNOWN	O
diesem	diesem	KNOWN	O
Zwecke	zwecke	KNOWN	O
Abends	abends	KNOWN	O
vorher	vorher	KNOWN	O
eine	eine	KNOWN	O
der	der	KNOWN	O
Anhöhen	anhöhen	KNOWN	O
ganz	ganz	KNOWN	O
in	in	KNOWN	O
der	der	KNOWN	O
Nähe	nähe	KNOWN	O
der	der	KNOWN	O
Hütte	hütte	KNOWN	O
erstiegen	erstiegen	KNOWN	O
und	und	KNOWN	O
,	,	KNOWN	O
wie	wie	KNOWN	O
sich	sich	KNOWN	O
heute	heute	KNOWN	O
zeigte	zeigte	KNOWN	O
,	,	KNOWN	O
sich	sich	KNOWN	O
gut	gut	KNOWN	O
informirt	informirt	UNKNOWN	O
.	.	KNOWN	O
Je	je	KNOWN	O
weiter	weiter	KNOWN	O
wir	wir	KNOWN	O
kamen	kamen	KNOWN	O
,	,	KNOWN	O
desto	desto	KNOWN	O
mehr	mehr	KNOWN	O
gewöhnte	gewöhnte	UNKNOWN	O
sich	sich	KNOWN	O
übrigens	übrigens	KNOWN	O
das	das	KNOWN	O
Auge	auge	KNOWN	O
an	an	KNOWN	O
die	die	KNOWN	O
Dunkelheit	dunkelheit	KNOWN	O
,	,	KNOWN	O
auch	auch	KNOWN	O
durfte	durfte	KNOWN	O
bald	bald	KNOWN	O
auf	auf	KNOWN	O
die	die	KNOWN	O
Morgendämmerung	morgendämmerung	UNKNOWN	O
gerechnet	gerechnet	KNOWN	O
werden	werden	KNOWN	O
und	und	KNOWN	O
als	als	KNOWN	O
die	die	KNOWN	O
halbe	halbe	KNOWN	O
Höhe	höhe	KNOWN	O
des	des	KNOWN	O
Gletschers	gletschers	UNKNOWN	O
erreicht	erreicht	KNOWN	O
war	war	KNOWN	O
,	,	KNOWN	O
stellte	stellte	KNOWN	O
sich	sich	KNOWN	O
das	das	KNOWN	O
dem	dem	KNOWN	O
Erscheinen	erscheinen	KNOWN	O
des	des	KNOWN	O
Tagesgestirnes	tagesgestirnes	UNKNOWN	O
vorangehende	vorangehende	KNOWN	O
charakteristische	charakteristische	KNOWN	O
Grau	grau	KNOWN	O
ein	ein	KNOWN	O
.	.	KNOWN	O
Jetzt	jetzt	KNOWN	O
wurde	wurde	KNOWN	O
die	die	KNOWN	O
Wanderung	wanderung	KNOWN	O
interessanter	interessanter	KNOWN	O
,	,	KNOWN	O
beständig	beständig	KNOWN	O
wurde	wurde	KNOWN	O
die	die	KNOWN	O
prächtige	prächtige	KNOWN	O
Glockenform	glockenform	UNKNOWN	O
des	des	KNOWN	O
Geiger	geiger	KNOWN	O
betrachtet	betrachtet	KNOWN	O
